"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.00265994900623276 -5.92944832696148
"consest" "solesmes" 1.69353497925286e-11 -24.801617974866
"cumesset" "ancstate" 1.70301934313794e-07 -15.5856928910698
"cumesset" "solesmes" 1.29545191624438e-42 -96.4497143014014
"judjer1" "ancstate" 3.85537126663257e-05 -10.1634581547757
"judjer1" "solesmes" 2.29982486254164e-10 -22.1930179566257
"judjer2" "ancstate" 2.02572589016117e-08 -17.7147526433497
"judjer2" "solesmes" 4.67552678221904e-14 -30.6938494648354
"orisic" "ancstate" 0.020520445993511 -3.8863335243392
"orisic" "solesmes" 1.0337800126977e-07 -16.0848736511846
