id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx
,,Alme rector astrigere Christe perditor culpe ,007040.Tp1,,,,CZ-Pn XV A 10,,040v,,,,feast_1765,genre_tp,office_v,,,,Alme rector astrigere Christe perditor culpe ,,1---h--h---7g--e---f--d--c--d---d--f---g--f--e---d--f---e--g---7h--hg--e---g--eg--d---5,,,
,,Aule rector astrigere Christus perditor culpe ,007040.Tp1,,,,CZ-HKm II A 4,,027v,,,,feast_1765,genre_tp,office_v,,,,Aule rector astrigere Christus perditor culpe ,,1---h--h---g--e---7f--d--c--d---d--e---f--g--fe---d--e---e--g---h--f--g---e--7f--d---5,,,
,,Aule rector astringe Christus proditor culpe ,007040.Tp1,,,,CZ-Pu XVII E 1,2,026r,,,,feast_1765,genre_tp,office_v,,,,Aule rector astringe Christus proditor culpe vite largitor eterne,,1---h--h---g--7e-f---d--c--d---d--e---f--g--fe---77d--e---e--g---h--f--g---e--f--d---5,,,
,,Ave spes nostra dei genetrix ,001546,8,,,D-KA Aug. LX,M,056v,,,,feast_0067,genre_a,office_v,,,,Ave spes nostra dei genetrix intacta ave illud ave per angelum accipiens ave concipiens patris splendorem benedicta ave casta sanctissima virgo solam innuptam te glorificat omnis creatura matrem luminis alleluia alleluia,,1---fgh--g---g---gh--g---g--gf---fgh--fe--d---f--gh--g---ijg-hjk--h7---f--he---fg--g---g---gf--dfedc--c---cdefghg--gf--gh--h---gj-kl--ghe-g-g---g--hk--h--g---h--g---gf--fed7--d---f--gh--g--g---gfed-efg--g---h--g---f--h--g--hg-hkjhg---ef--g---f--g---h--hk--g---g---ghg-hkjhg7--fe--fg--g---f--g---h--h--hk--g---fgh--fed---f--gh--gf---gh--h--gf--d---f--gh--h--g-g7---3,,,
,,Ave spes nostra dei genetrix intacta ,001546,,,,CZ-Pn XV A 10,,007v,,,,feast_0390,genre_a,office_v,,,,Ave spes nostra dei genetrix intacta ,,1---f-gh--g---g---gh--g---g--gf---f-gh--fe--d---f--gh--g---7hg-hk--hg---g--h-g-f-e---fgf--g---g---gf--df-e-c--c---cd-ff-ghg--fe--fgf--g---7g-hkj-kl-e-f-g--g---g--hk--hg--g---h--g---g--fe--d---f--gh--7g--g-f-e-d---e-fg--g---h--g---f--h--g--h-jk-j-h-g---ef--g---7f--g---h--hk--g---g---hg-h-jk-j-h-g--fe--fgf--g---f--g---h--7h--hk--g---f-gh--f-e-d---f-gh--g---h--h--hg--f-e-d---dh--h--g--g---4---k---k---j---k---h---g---5,,,
,,Ave spes nostra dei genitrix intacta ,001546,,,,CZ-HKm II A 4,,001v,,,,feast_0390,genre_a,office_v,,,,Ave spes nostra dei genitrix intacta ,,1---f-gh--g---g---gh--g---g--gf---f-gh--fe--d---f--gh--g---hg-7h-jk--jh---g--h-g-f-e---fgf--g---g---gf--dfec--c---cd-ff-ghg--fe--fgf--g---7g-hk-j-klg-f-gh--g---g--hk--h--h---h--g---g--fe--d---f--gh--g--77g---g-f-e-d-e-fg--g---h--g---f--h--g--h-jk-j-h-g---ef--g---f--g---7h--hk--g---g---hg-h-jk-j-h-g--fe--fgf--g---f--g---h--h--hkg---f-gh--7f-e-d---f--gh--g---h--h--hg--f-e-d---dh--h--g--g---4---k---k---j---k---h---g---5,,,
,,Ave spes nostra dei genitrix intacta ,001546,,,,CZ-Pu XIV A 19,,001r,,,,feast_0390,genre_a,office_v,,,,Ave spes nostra dei genitrix intacta ,,1---f-gh--g---g---gh--g---g--gf---f-gh--fe--d---f--gh--g---7hg-hk--h---g--gf---e-fg--g---g---gff--ddg-e-d-c--c---cd-ff-ghg--fe--7fgf--g---g-hk-j-kl-e-fg--g---g--hk--h--h---h--g---g--7fe--d---f--gh--g--g---g-f-e-d-e-fg--g---h--g---f--h--7g--hg-hhk-j-h-g---ef--g---f--g---h--hk--g---g---hg-hhk-j-h-g--77fe--fgf--g---f--g---h--h--hk--g---f-gh--f-e-d---f--gh--g---h--h--hg--f-e-d---dh--h--g--g---4---k---k---j---k---h---g---5,,,
,,Ave spes nostra dei genitrix intacta ,001546,,,,CZ-Pu XXIII A 2,,003r,,,,feast_0390,genre_a,office_v,,,,Ave spes nostra dei genitrix intacta ,,1---f-gh--g---7g---gh--g---g--gf---f-gh--fe--d---f--gh--g---hg-hk-h--g---g--h-g-f-e---fgf--7g---g---gf--df-e-d-c--c---cd-f--f-ghg--fg--g---g-hk-j-kl-f-gh-g-f-gh--7g---g--hk--h--g---h--g---g--fe--d---f--gh--g--g---g-f-e-d-7e-fg--g---h--g---f--h--g--h-jk-j-h-g-e---ef--g---f--gh---h--hk--g---7g---hg-h-jk-j-h-g--fd--fgf--g---f--g---h--h--hk--g---f-gh--f-e-d---7f--gh--g---h--h--hg--f-e-d---dh--h--g--g---4---kk--k--j--k--h--g---5,,,
,,Ave spes nostra dei genitrix*,001546,,,,CZ-PLm 504 C 004,2,009v,,,,feast_1765,genre_a,office_v,,,,Ave spes nostra dei genitrix*,,1---fgh--g---g---gh--g---g--gf---fgh--fe--d---5,,,
,,Bethleem non es minima in ,001737,4,,,CH-E 611,1.3,001r,,,,feast_0390,genre_a,office_m,,,,Bethleem non es minima in principibus Juda ex te enim exiet dux qui regat populum meum Israel ipse enim salvum faciet populum suum a peccatis eorum,,1---cd--efe--d---gf---g---fe--de--efede---c---f--g---6------6---edfe--e---d---e---ghk--h---hgf7--g--gh---gfe---f---gf--e---fg--f--f---fghgf--g---gh--gf--ed-ffe---d--e---ghk--h---h--h---hk7--gf--e---ef--g--e---fed--d---e---f--g--f---gf--ed--efee---4---h--g--h--k--g--efed---3,,,
